,Unnamed: 0,Unnamed: 0.1,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
0,0,1,19,1300 block of Alabama Ave,Selma,2014-09-01,http://www.gunviolencearchive.org/incident/186796,32.4084596,-87.0175501,0,0
1,1,2,44,5900 Messer Airport Hwy,Birmingham,2014-09-01,http://www.gunviolencearchive.org/incident/192477,33.5620777,-86.752285,0,0
2,2,3,152,3100 block of 20th Street ,Tuscaloosa,2014-09-01,http://www.gunviolencearchive.org/incident/186638,33.1944261,-87.5762007,1,0
3,3,4,304,502 Barnett Boulevard,Tallassee,2014-09-02,http://www.gunviolencearchive.org/incident/186827,32.537157,-85.89726619999999,0,0
4,4,5,305,1500 block of 53rd St,Birmingham (Ensley),2014-09-02,http://www.gunviolencearchive.org/incident/186723,33.4821898,-86.89631949999999,0,1
5,5,6,322,100 block of W. Delano Avenue ,Montgomery,2014-09-02,http://www.gunviolencearchive.org/incident/186803,32.3371968,-86.31098229999999,1,0
6,6,7,397,200 block of 4th Terrace North,Birmingham,2014-09-03,http://www.gunviolencearchive.org/incident/186770,33.5099436,-86.83307580000002,0,1
7,7,8,441,4920 US-78,Oxford,2014-09-03,http://www.gunviolencearchive.org/incident/186814,33.597903,-85.928066,1,0
8,8,9,484,4000 block of Hunters Ridge Drive ,Huntsville,2014-09-03,http://www.gunviolencearchive.org/incident/186777,34.6783329,-86.5867349,1,0
9,9,10,486,5100 block of Carmichael Road,Montgomery,2014-09-03,http://www.gunviolencearchive.org/incident/200506,32.3597769,-86.2192154,0,2
10,10,11,488,Brindlee Mountain Parkway,Arab,2014-09-03,http://www.gunviolencearchive.org/incident/186774,34.3090557,-86.5015411,0,0
11,11,12,521,Athey Road at Skipper Drive ,Mobile,2014-09-04,http://www.gunviolencearchive.org/incident/186836,30.715198,-88.19506000000001,0,0
12,12,13,525,1600 block of Jefferson Avenue Southwest,Birmingham,2014-09-04,http://www.gunviolencearchive.org/incident/186766,33.485596,-86.857354,0,1
13,13,14,666,1900 block of Center Point Road,Birmingham,2014-09-05,http://www.gunviolencearchive.org/incident/186757,33.6793554,-86.6810057,0,0
14,14,15,709,Harden Avenue and Governors Drive,Huntsville,2014-09-05,http://www.gunviolencearchive.org/incident/186833,,,0,0
15,15,16,713,Jordan Lane ,Huntsville,2014-09-05,http://www.gunviolencearchive.org/incident/186830,34.7266767,-86.6275012,0,0
16,16,17,739,901 East Meighan Blvd,Gadsden,2014-09-05,http://www.gunviolencearchive.org/incident/187959,34.0071381,-85.9785307,0,0
17,17,18,741,Lake Forest Circle,Hoover,2014-09-05,http://www.gunviolencearchive.org/incident/195338,33.3409646,-86.8305893,0,0
18,18,19,749,3500 block of Griffintown Road ,Bibb County,2014-09-05,http://www.gunviolencearchive.org/incident/188944,33.1716988,-87.0911406,1,0
19,19,20,759,3000 block of Meridian Street ,Huntsville,2014-09-05,http://www.gunviolencearchive.org/incident/186785,34.7635729,-86.5732622,0,0
20,20,21,792,3400 block of Conley Road,Hoover,2014-09-05,http://www.gunviolencearchive.org/incident/186839,33.3892655,-86.81454579999999,0,0
21,21,22,813,100 block of Broad Street ,Alexander City ,2014-09-05,http://www.gunviolencearchive.org/incident/196318,32.9452418,-85.9532188,0,0
22,22,23,850,300 block of Beta Street,Birmingham,2014-09-06,http://www.gunviolencearchive.org/incident/186729,33.49867150000001,-86.8234763,1,1
23,23,24,953,Washington St,Greensboro,2014-09-06,http://www.gunviolencearchive.org/incident/187371,32.7096279,-87.587366,0,1
