,Unnamed: 0,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
4412,4413,489,2300 5th Avenue East,Tuscaloosa,2016-04-04,http://www.gunviolencearchive.org/incident/535397,,,1,0
4413,4414,565,5900 Messer Airport Hwy.,Birmingham,2016-04-04,http://www.gunviolencearchive.org/incident/615706,,,0,0
4414,4415,654,,Montgomery,2016-04-05,http://www.gunviolencearchive.org/incident/539659,,,1,0
4415,4416,723,7300 block of Queenstown Avenue,Birmingham,2016-04-06,http://www.gunviolencearchive.org/incident/536451,,,1,0
4416,4417,779,500 block of Huron Street,Birmingham,2016-04-06,http://www.gunviolencearchive.org/incident/536449,,,0,1
4417,4418,809,Clairmont Road,Semmes,2016-04-06,http://www.gunviolencearchive.org/incident/536439,,,1,0
4418,4419,877,Skyland Boulevard,Tuscaloosa,2016-04-06,http://www.gunviolencearchive.org/incident/536447,,,1,0
4419,4420,904,6300 block of Yellowhammer Drive,Pinson,2016-04-07,http://www.gunviolencearchive.org/incident/536444,,,0,1
4420,4421,937,8400 Airport Blvd.,Mobile,2016-04-07,http://www.gunviolencearchive.org/incident/617196,,,0,0
4421,4422,974,Elizabeth Street,Huntsville,2016-04-07,http://www.gunviolencearchive.org/incident/536436,,,1,0
4422,4423,975,38th Avenue North,Birmingham,2016-04-07,http://www.gunviolencearchive.org/incident/536442,,,1,0
4423,4424,1016,900 block of Milstead Road,Fairfield,2016-04-08,http://www.gunviolencearchive.org/incident/537888,,,0,1
4424,4425,1026,200 block of Southlawn Drive,Montgomery,2016-04-08,http://www.gunviolencearchive.org/incident/537881,,,0,1
4425,4426,1100,Martin Ave.,Gadsden,2016-04-08,http://www.gunviolencearchive.org/incident/539684,,,0,0
4426,4427,1169,West 15th Street and Crawford Avenue,Anniston,2016-04-09,http://www.gunviolencearchive.org/incident/539705,,,4,0
4427,4428,1195,Cimarron Circle,Pinson,2016-04-09,http://www.gunviolencearchive.org/incident/537568,,,1,0
4428,4429,1202,5900 Messer Airport Hwy.,Birmingham,2016-04-09,http://www.gunviolencearchive.org/incident/617907,,,0,0
4429,4430,1260,1200 block of Lynwood Drive,Montgomery,2016-04-09,http://www.gunviolencearchive.org/incident/537885,,,0,1
4430,4431,1269,100 River Oaks Dr.,Wetumpka,2016-04-09,http://www.gunviolencearchive.org/incident/537883,,,1,0
4431,4432,1293,Knight Drive,Bessemer,2016-04-10,http://www.gunviolencearchive.org/incident/539338,,,0,0
4432,4433,1321,,Livingston (Coatopa),2016-04-10,http://www.gunviolencearchive.org/incident/538518,,,0,1
4433,4434,1368,Spann Street,Huntsville,2016-04-10,http://www.gunviolencearchive.org/incident/537879,,,1,0
4434,4435,1372,,Guntersville,2016-04-10,http://www.gunviolencearchive.org/incident/544044,,,1,0
4435,4436,1399,9000 block of Knight Drive,Jefferson (county),2016-04-10,http://www.gunviolencearchive.org/incident/539671,,,0,0
4436,4437,1448,,Northport,2016-04-10,http://www.gunviolencearchive.org/incident/539695,,,0,0
4437,4438,1546,Claybank Street,Ariton,2016-04-11,http://www.gunviolencearchive.org/incident/540079,,,0,0
4438,4439,1605,4100 block of McClain Lane,Huntsville,2016-04-11,http://www.gunviolencearchive.org/incident/539658,,,0,0
4439,4440,1607,Rucker Blvd.,Enterprise,2016-04-11,http://www.gunviolencearchive.org/incident/539662,,,0,1
4440,4441,1608,Crescent Road,Montgomery,2016-04-11,http://www.gunviolencearchive.org/incident/539674,,,1,0
4441,4442,1623,200 block of 21st Street Southwest,Birmingham,2016-04-11,http://www.gunviolencearchive.org/incident/539688,,,0,1
4442,4443,1629,,Northport,2016-04-11,http://www.gunviolencearchive.org/incident/539698,,,0,0
4443,4444,1668,2201 48th St E.,Tuscaloosa,2016-04-12,http://www.gunviolencearchive.org/incident/539678,,,1,0
4444,4445,1669,Locust Street,Decatur,2016-04-12,http://www.gunviolencearchive.org/incident/539686,,,0,0
4445,4446,1812,4700 Calhoun Road,Mobile,2016-04-13,http://www.gunviolencearchive.org/incident/539664,,,0,1
4446,4447,1815,Harden Avenue and Indiana Street,Huntsville,2016-04-13,http://www.gunviolencearchive.org/incident/541034,,,0,0
4447,4448,1816,2600 block of Vaughn Lakes Boulevard,Montgomery,2016-04-13,http://www.gunviolencearchive.org/incident/541038,,,0,1
4448,4449,1817,Highway 102,Fayette (county),2016-04-13,http://www.gunviolencearchive.org/incident/541050,,,1,0
4449,4450,2035,100 block of Haversham Drive,Jefferson (county),2016-04-14,http://www.gunviolencearchive.org/incident/541043,,,1,0
4450,4451,2056,Pleasant Circle,Opelika,2016-04-14,http://www.gunviolencearchive.org/incident/544051,,,0,0
4451,4452,2066,Hopper Street,Boaz,2016-04-15,http://www.gunviolencearchive.org/incident/542387,,,1,0
4452,4453,2132,1300 block of Woodpecker Road,Silverhill,2016-04-15,http://www.gunviolencearchive.org/incident/542389,,,0,1
4453,4454,2155,600 block of Canterbury Avenue,Decatur,2016-04-15,http://www.gunviolencearchive.org/incident/546356,,,0,0
4454,4455,2239,,Tuskegee,2016-04-16,http://www.gunviolencearchive.org/incident/542376,,,2,0
4455,4456,2240,6th Ave. and 6th Street North,Birmingham,2016-04-16,http://www.gunviolencearchive.org/incident/542382,,,0,1
4456,4457,2241,2900 block of 33rd Way North,Birmingham,2016-04-16,http://www.gunviolencearchive.org/incident/542384,,,1,0
4457,4458,2242,800 block of Oakbrook Drive,Montgomery,2016-04-16,http://www.gunviolencearchive.org/incident/542391,,,2,0
4458,4459,2261,Highway 80 and Highway 41,Selma,2016-04-16,http://www.gunviolencearchive.org/incident/544054,,,2,0
4459,4460,2381,Baxter Street,Enterprise,2016-04-16,http://www.gunviolencearchive.org/incident/542362,,,4,0
4460,4461,2386,Wilson Drive,Sumter (county),2016-04-16,http://www.gunviolencearchive.org/incident/543315,,,0,1
4461,4462,2397,1100 block of West Meighan Boulevard,Gadsden,2016-04-17,http://www.gunviolencearchive.org/incident/546276,,,2,0
4462,4463,2473,Cox Creek Parkway and Cloverdale Road,Florence,2016-04-17,http://www.gunviolencearchive.org/incident/542180,,,1,1
4463,4464,2483,2100 block of Brookside Dr.,Huntsville,2016-04-17,http://www.gunviolencearchive.org/incident/542397,,,0,1
4464,4465,2637,Highway 84,Enterprise,2016-04-18,http://www.gunviolencearchive.org/incident/544059,,,0,0
4465,4466,2766,5900 Messer Airport Hwy.,Birmingham,2016-04-19,http://www.gunviolencearchive.org/incident/626972,,,0,0
4466,4467,2771,5900 Messer Airport Hwy.,Birmingham,2016-04-19,http://www.gunviolencearchive.org/incident/626102,,,0,0
4467,4468,2772,Front Street,Flomaton,2016-04-19,http://www.gunviolencearchive.org/incident/544848,,,0,1
4468,4469,2871,Indiana Street,Huntsville,2016-04-19,http://www.gunviolencearchive.org/incident/544047,,,1,0
4469,4470,2872,4000 block of 13th Avenue North,Kinston,2016-04-19,http://www.gunviolencearchive.org/incident/544049,,,1,0
4470,4471,2887,81551 Us Highway 278,Blountsville,2016-04-19,http://www.gunviolencearchive.org/incident/543441,,,4,1
4471,4472,3043,,Dothan,2016-04-20,http://www.gunviolencearchive.org/incident/544843,,,0,0
4472,4473,3051,2300 block of Forest Lake Drive,Tuscaloosa,2016-04-20,http://www.gunviolencearchive.org/incident/546269,,,1,0
4473,4474,3056,1100 Hargrove Rd E,Tuscaloosa,2016-04-20,http://www.gunviolencearchive.org/incident/546280,,,0,0
4474,4475,3058,Highway 63 North,Alexander City,2016-04-20,http://www.gunviolencearchive.org/incident/546283,,,0,1
4475,4476,3075,1500 block of Lomb Avenue,Birmingham,2016-04-20,http://www.gunviolencearchive.org/incident/544850,,,0,1
4476,4477,3092,4300 block of Gaston Avenue,Montgomery,2016-04-21,http://www.gunviolencearchive.org/incident/546342,,,0,0
4477,4478,3095,1500 block of Van Lee Circle,Mobile,2016-04-21,http://www.gunviolencearchive.org/incident/546367,,,1,0
4478,4479,3096,445 Church Road,Hartselle,2016-04-21,http://www.gunviolencearchive.org/incident/546353,,,0,2
4479,4480,3167,4th Avenue,Alabaster,2016-04-21,http://www.gunviolencearchive.org/incident/548324,,,0,0
4480,4481,3223,5900 Messer Airport Hwy.,Birmingham,2016-04-21,http://www.gunviolencearchive.org/incident/628085,,,0,0
4481,4482,3267,100 block of Meadows Drive,Birmingham (Irondale),2016-04-22,http://www.gunviolencearchive.org/incident/548296,,,0,1
4482,4483,3406,,Sylvania,2016-04-23,http://www.gunviolencearchive.org/incident/550306,,,1,0
4483,4484,3472,1200 block of Lee Road 83,Auburn,2016-04-23,http://www.gunviolencearchive.org/incident/546244,,,1,3
4484,4485,3502,800 block of North Gap Loop,Montgomery,2016-04-23,http://www.gunviolencearchive.org/incident/546344,,,0,1
4485,4486,3503,1600 block of Hayden Street,Selma,2016-04-23,http://www.gunviolencearchive.org/incident/549488,,,1,0
4486,4487,3616,651 Azalea Road,Mobile,2016-04-24,http://www.gunviolencearchive.org/incident/548316,,,0,1
4487,4488,3649,3000 block of 41st Avenue,Tuscaloosa,2016-04-24,http://www.gunviolencearchive.org/incident/547598,,,0,1
4488,4489,3653,Midfield Road,Arab,2016-04-24,http://www.gunviolencearchive.org/incident/548330,,,0,1
4489,4490,3738,Richard Arrington Jr. Blvd North and Coosa Street,Birmingham,2016-04-25,http://www.gunviolencearchive.org/incident/548168,,,1,1
4490,4491,3820,16th Street and Avenue W,Birmingham,2016-04-25,http://www.gunviolencearchive.org/incident/548173,,,1,0
4491,4492,3886,AJ Mason Road and Brannon Road,Citronelle,2016-04-25,http://www.gunviolencearchive.org/incident/548313,,,0,1
4492,4493,3922,,Cullman,2016-04-26,http://www.gunviolencearchive.org/incident/549077,,,1,0
4493,4494,3923,4400 block of Bonnell Drive,Huntsville,2016-04-26,http://www.gunviolencearchive.org/incident/549079,,,1,0
4494,4495,4014,"4500 block of Richard Arrington, Jr. Boulevard",Birmingham,2016-04-26,http://www.gunviolencearchive.org/incident/549478,,,0,1
4495,4496,4056,Sumner Drive,Mobile,2016-04-27,http://www.gunviolencearchive.org/incident/549480,,,1,0
4496,4497,4180,3200 block of Virginia Pines Lane,Montgomery,2016-04-27,http://www.gunviolencearchive.org/incident/550332,,,0,1
4497,4498,4186,3800 block of Smiley Court,Montgomery,2016-04-27,http://www.gunviolencearchive.org/incident/550327,,,1,0
4498,4499,4201,Creekside Circle,Talladega,2016-04-27,http://www.gunviolencearchive.org/incident/549641,,,1,0
4499,4500,4220,500 block of 16th Terrace NW,Birmingham (Center Point),2016-04-28,http://www.gunviolencearchive.org/incident/550324,,,0,1
4500,4501,4277,5000 block of Oak Leaf Circle,Adamsville,2016-04-28,http://www.gunviolencearchive.org/incident/550316,,,1,0
4501,4502,4278,West Jefferson Davis Avenue,Montgomery,2016-04-28,http://www.gunviolencearchive.org/incident/550336,,,1,0
