"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"1",19,"1300 block of Alabama Ave","Selma","2014-09-01","http://www.gunviolencearchive.org/incident/186796",NA,NA,0,0
"2",44,"5900 Messer Airport Hwy","Birmingham","2014-09-01","http://www.gunviolencearchive.org/incident/192477",NA,NA,0,0
"3",152,"3100 block of 20th Street ","Tuscaloosa","2014-09-01","http://www.gunviolencearchive.org/incident/186638",NA,NA,1,0
"4",304,"502 Barnett Boulevard","Tallassee","2014-09-02","http://www.gunviolencearchive.org/incident/186827",NA,NA,0,0
"5",305,"1500 block of 53rd St","Birmingham (Ensley)","2014-09-02","http://www.gunviolencearchive.org/incident/186723",NA,NA,0,1
"6",322,"100 block of W. Delano Avenue ","Montgomery","2014-09-02","http://www.gunviolencearchive.org/incident/186803",NA,NA,1,0
"7",397,"200 block of 4th Terrace North","Birmingham","2014-09-03","http://www.gunviolencearchive.org/incident/186770",NA,NA,0,1
"8",441,"4920 US-78","Oxford","2014-09-03","http://www.gunviolencearchive.org/incident/186814",NA,NA,1,0
"9",484,"4000 block of Hunters Ridge Drive ","Huntsville","2014-09-03","http://www.gunviolencearchive.org/incident/186777",NA,NA,1,0
"10",486,"5100 block of Carmichael Road","Montgomery","2014-09-03","http://www.gunviolencearchive.org/incident/200506",NA,NA,0,2
"11",488,"Brindlee Mountain Parkway","Arab","2014-09-03","http://www.gunviolencearchive.org/incident/186774",NA,NA,0,0
"12",521,"Athey Road at Skipper Drive ","Mobile","2014-09-04","http://www.gunviolencearchive.org/incident/186836",NA,NA,0,0
"13",525,"1600 block of Jefferson Avenue Southwest","Birmingham","2014-09-04","http://www.gunviolencearchive.org/incident/186766",NA,NA,0,1
"14",666,"1900 block of Center Point Road","Birmingham","2014-09-05","http://www.gunviolencearchive.org/incident/186757",NA,NA,0,0
"15",709,"Harden Avenue and Governors Drive","Huntsville","2014-09-05","http://www.gunviolencearchive.org/incident/186833",NA,NA,0,0
"16",713,"Jordan Lane ","Huntsville","2014-09-05","http://www.gunviolencearchive.org/incident/186830",NA,NA,0,0
